;function;code_to_add
27;data_fram;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
28;as_data_fra;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
29;l;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
30;ls;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
31;add_r;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
32;type_s;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
33;frame_da;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
34;tribb;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
35;tibb;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
36;as_tibb;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
37;vi;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
38;tbl_s;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
39;contai;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
40;select_helpe;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
41;ends_wi;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
42;everythi;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
43;match;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
44;num_ran;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
45;one_;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
46;starts_wi;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
47;last_c;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
48;any_;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
49;all_;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
50;interse;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
51;uni;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
52;setdi;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
53;setequ;<br>See documentation at <a class='fn_help' href='https://dplyr.tidyverse.org/reference/reexports.html'>this source</a> for related verbs.
